Date,Ratio_a (HDFCLTD),Ratio_b (HDFCBANK)
2015-03-20,1.008096709,1.003516442
2015-03-23,1.005416713,0.992281466
2015-03-24,1.009771866,0.990646624
2015-03-25,0.996835559,0.996435281
2015-03-26,0.947694806,0.973604061
2015-03-27,0.983641038,1.007646854
2015-03-30,1.034449988,1.021928744
2015-03-31,1.007273006,0.986305333
2015-04-01,1.016227103,1.010315831
2015-04-06,0.995175947,0.998741834
2015-04-07,0.998572073,1.000775231
2015-04-08,0.978174155,1.002711208
2015-04-09,1.002577518,1.019844527
2015-04-10,0.990253636,0.987264464
2015-04-13,1.011547255,0.996307486
2015-04-15,0.988661176,0.993117058
2015-04-16,1.012669999,0.998061358
2015-04-17,0.999923477,0.988928277
2015-04-20,0.970880845,0.987085686
2015-04-21,0.991723486,0.997910656
2015-04-22,1.015141279,1.010069791
2015-04-23,0.999099593,1.000394828
2015-04-24,0.975784648,0.993043907
2015-04-27,0.973175923,0.999006409
2015-04-28,1.01361667,0.999104878
2015-04-29,0.977936088,0.988651635
2015-04-30,0.97406652,0.995619997
2015-05-04,1.027521368,1.012287621
2015-05-05,0.981824988,0.986712623
2015-05-06,0.985809294,0.982736799
2015-05-07,0.991964593,0.980115393
2015-05-08,1.026943903,1.032271628
2015-05-11,1.034378032,1.008452138
2015-05-12,0.971658103,0.981470262
2015-05-13,1.023544718,1.018828129
2015-05-14,0.992045268,1.000807877
2015-05-15,1.02033562,0.999041421
2015-05-18,1.024305274,1.01994748
2015-05-19,0.981214902,0.997722434
2015-05-20,1.023779775,1.016376358
2015-05-21,0.988898075,1.000634735
2015-05-22,1.025558342,0.999609642
2015-05-25,0.972516595,0.999267793
2015-05-26,0.990260647,1.003761419
2015-05-27,0.999556613,1.010463305
2015-05-28,0.991410598,0.991571546
2015-05-29,1.005531828,1.020545949
2015-06-01,1.009465637,0.986340488
2015-06-02,0.964215588,0.973557228
2015-06-03,0.999792203,0.996778351
2015-06-04,1.010932369,1.009348118
2015-06-05,0.987952303,0.996847135
2015-06-08,0.979523037,0.991796392
2015-06-09,1.010240068,0.998405501
2015-06-10,1.001472073,1.013724609
2015-06-11,0.977951367,0.98483655
2015-06-12,1.022416903,1.00894821
2015-06-15,1.020287298,0.996085815
2015-06-16,0.987238072,1.003183446
2015-06-17,1.001542888,0.996330821
2015-06-18,1.010325589,1.014830298
